county_state,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating,median_acute_care_rating,pct_acute_care
"DU PAGE, IL",7,6.0,4.17,4.5,85.71
"SAN MATEO, CA",7,7.0,3.83,3.5,100.0
"FRESNO, CA",7,7.0,2.6,3.0,100.0
"MONTGOMERY, OH",7,4.0,4.0,4.0,57.14
"SPOKANE, WA",7,4.0,3.75,3.5,57.14
"SUMMIT, OH",7,4.0,3.0,3.0,57.14
"FORT BEND, TX",7,6.0,3.67,3.5,85.71
"DENVER, CO",7,6.0,3.4,3.0,85.71
"ALLEN, IN",7,6.0,3.0,3.0,85.71
"FAYETTE, KY",6,4.0,2.75,3.0,66.67
"NEW CASTLE, DE",6,2.0,3.0,3.0,33.33
"MOBILE, AL",6,4.0,1.75,1.5,66.67
"ST. LAWRENCE, NY",6,3.0,2.67,3.0,50.0
"FAIRFAX, VA",6,4.0,4.5,5.0,66.67
"HAWAII, HI",6,3.0,3.33,4.0,50.0
"CAMERON, TX",6,4.0,4.0,4.0,66.67
"KANE, IL",6,5.0,4.4,4.0,83.33
"HIDALGO, TX",6,6.0,3.17,3.0,100.0
"SEDGWICK, KS",6,6.0,3.75,4.0,100.0
"PENOBSCOT, ME",6,2.0,2.5,2.5,33.33
"SANTA BARBARA, CA",6,4.0,3.75,4.5,66.67
"WAKE, NC",6,4.0,3.5,3.5,66.67
"NORFOLK, MA",6,4.0,2.5,2.5,66.67
"CALCASIEU, LA",6,4.0,2.5,2.5,66.67
"MONROE, NY",6,5.0,2.25,2.0,83.33
"DE KALB, GA",6,3.0,1.67,1.0,50.0
"WAUKESHA, WI",6,4.0,4.5,4.5,66.67
"BOULDER, CO",6,5.0,3.25,3.0,83.33
"ST. LOUIS CITY, MO",6,3.0,1.67,2.0,50.0
"HAMILTON, IN",6,6.0,4.17,4.5,100.0
"WASHINGTON, AR",6,3.0,2.5,2.5,50.0
"ESSEX, MA",6,5.0,3.0,3.0,83.33
"MADISON, IL",6,4.0,2.25,2.5,66.67
"MACOMB, MI",6,4.0,3.0,3.0,66.67
"HAMPDEN, MA",6,5.0,2.8,3.0,83.33
"LAKE, IL",6,6.0,3.6,4.0,100.0
"RANKIN, MS",6,4.0,3.0,3.0,66.67
"MAHONING, OH",6,4.0,3.0,2.5,66.67
"LUBBOCK, TX",6,4.0,3.75,3.5,66.67
"BURLINGTON, NJ",6,3.0,3.0,2.0,50.0
"MONTGOMERY, TX",6,6.0,2.33,3.0,100.0
"LAKE, FL",5,4.0,2.5,2.5,80.0
"ADA, ID",5,3.0,4.5,4.5,60.0
"MERCER, NJ",5,4.0,2.25,2.5,80.0
"CHATHAM, GA",5,3.0,1.67,2.0,60.0
"YORK, PA",5,5.0,3.33,4.0,100.0
"KNOX, TN",5,4.0,2.0,2.0,80.0
"BUTLER, OH",5,4.0,3.25,3.0,80.0
"WASHTENAW, MI",5,4.0,4.33,5.0,80.0
"ST. CHARLES, MO",5,4.0,3.0,3.0,80.0
"LEE, FL",5,4.0,2.75,3.0,80.0
"LANE, OR",5,3.0,3.0,3.0,60.0
"MINNEHAHA, SD",5,3.0,4.0,4.0,60.0
"OCEAN, NJ",5,4.0,3.25,3.5,80.0
"ORANGE, NY",5,4.0,2.75,2.5,80.0
"VOLUSIA, FL",5,5.0,2.2,2.0,100.0
"OUACHITA, LA",5,4.0,3.0,3.0,80.0
"KANAWHA, WV",5,4.0,2.67,3.0,80.0
"LANCASTER, NE",5,4.0,3.67,3.0,80.0
"LANCASTER, PA",5,4.0,3.5,3.5,80.0
"WASHINGTON, OR",5,4.0,3.75,4.0,80.0
"BRAZOS, TX",5,4.0,3.33,3.0,80.0
"SOLANO, CA",5,4.0,2.5,2.5,80.0
"CAMDEN, NJ",5,4.0,2.5,2.0,80.0
"KENT, MI",5,3.0,3.33,3.0,60.0
"ANCHORAGE, AK",5,3.0,3.67,4.0,60.0
"LARIMER, CO",5,4.0,4.25,4.5,80.0
"EL PASO, CO",5,3.0,4.5,4.5,60.0
"HORRY, SC",5,4.0,4.0,4.0,80.0
"BERKS, PA",5,3.0,4.0,5.0,60.0
"MANATEE, FL",5,3.0,2.0,2.0,60.0
"GRAFTON, NH",5,1.0,3.0,3.0,20.0
"LORAIN, OH",5,3.0,4.0,4.0,60.0
"CUMBERLAND, ME",5,3.0,4.67,5.0,60.0
"ASHTABULA, OH",5,2.0,1.0,1.0,40.0
"ROCKLAND, NY",5,3.0,1.5,1.5,60.0
"DANE, WI",5,3.0,4.67,5.0,60.0
"PRINCE GEORGES, MD",5,5.0,2.0,1.0,100.0
"HILLSBOROUGH, NH",5,4.0,3.0,3.0,80.0
"HINDS, MS",5,5.0,2.0,2.0,100.0
"PONCE, PR",5,4.0,2.0,2.0,80.0
"NAVAJO, AZ",5,2.0,4.0,4.0,40.0
"RAMSEY, MN",5,4.0,2.75,2.5,80.0
"STANISLAUS, CA",5,5.0,2.6,3.0,100.0
"POLK, FL",5,5.0,2.2,2.0,100.0
"WICHITA, TX",5,2.0,4.0,4.0,40.0
"UNION, NJ",5,3.0,2.0,2.0,60.0
"MONMOUTH, NJ",5,5.0,3.4,4.0,100.0
"TANGIPAHOA, LA",5,2.0,3.0,3.0,40.0
"CHESTER, PA",5,5.0,3.6,3.0,100.0
"HUMBOLDT, CA",5,2.0,2.5,2.5,40.0
"COMANCHE, OK",4,3.0,1.5,1.5,75.0
"LACKAWANNA, PA",4,3.0,1.67,2.0,75.0
"WARRICK, IN",4,2.0,4.5,4.5,50.0
"ROCKINGHAM, NH",4,3.0,3.33,3.0,75.0
"COCONINO, AZ",4,2.0,4.0,4.0,50.0
"HAMILTON, TN",4,3.0,3.0,3.0,75.0
"SUSSEX, DE",4,3.0,2.67,2.0,75.0
"TERREBONNE, LA",4,3.0,2.5,2.5,75.0
"SMITH, TX",4,4.0,4.0,4.0,100.0
"GWINNETT, GA",4,3.0,3.0,3.0,75.0
"RICHMOND CITY, VA",4,3.0,3.33,4.0,75.0
"CABELL, WV",4,2.0,3.5,3.5,50.0
"BUTTE, CA",4,3.0,2.67,3.0,75.0
"GRANT, WA",4,1.0,3.0,3.0,25.0
"SIOUX, IA",4,,,,
"ONONDAGA, NY",4,3.0,2.0,2.0,75.0
"RICHLAND, SC",4,3.0,3.0,3.0,75.0
"SNOHOMISH, WA",4,4.0,2.25,2.0,100.0
"ERIE, PA",4,3.0,2.33,2.0,75.0
"ONEIDA, NY",4,3.0,2.0,2.0,75.0
"RICHMOND, GA",4,3.0,2.33,2.0,75.0
"DELAWARE, NY",4,1.0,,,25.0
"DOUGLAS, CO",4,3.0,4.0,4.0,75.0
"COCHISE, AZ",4,1.0,1.0,1.0,25.0
"DONA ANA, NM",4,2.0,1.5,1.5,50.0
"FORSYTH, NC",4,3.0,3.0,3.0,75.0
"PINAL, AZ",4,3.0,3.67,4.0,75.0
"DELAWARE, PA",4,4.0,2.0,1.5,100.0
"ST. JOSEPH, IN",4,3.0,3.5,3.5,75.0
"PENNINGTON, SD",4,4.0,3.0,3.0,100.0
"PLYMOUTH, MA",4,3.0,3.0,4.0,75.0
"JEFFERSON, CO",4,4.0,3.0,3.0,100.0
"ST. CLAIR, IL",4,4.0,2.75,3.0,100.0
"STARK, OH",4,3.0,3.33,3.0,75.0
"SARASOTA, FL",4,4.0,3.25,3.5,100.0
"POLK, IA",4,4.0,2.75,3.0,100.0
"SULLIVAN, TN",4,3.0,2.33,2.0,75.0
"VIGO, IN",4,2.0,2.5,2.5,50.0
"SANTA ROSA, FL",4,3.0,3.67,3.0,75.0
"STEARNS, MN",4,1.0,5.0,5.0,25.0
"SANTA CRUZ, CA",4,3.0,3.33,3.0,75.0
"CLAY, MO",4,2.0,3.5,3.5,50.0
"HAYS, TX",4,3.0,3.5,3.5,75.0
"TIPPECANOE, IN",4,2.0,3.5,3.5,50.0
"ROCK, WI",4,3.0,3.0,2.0,75.0
"SHASTA, CA",4,3.0,2.5,2.5,75.0
"HARRISON, MS",4,3.0,1.67,2.0,75.0
"CHELAN, WA",4,2.0,4.0,4.0,50.0
"FOND DU LAC, WI",4,1.0,4.0,4.0,25.0
"LYCOMING, PA",4,1.0,3.0,3.0,25.0
"MAUI, HI",4,1.0,3.0,3.0,25.0
"MARSHALL, IN",4,1.0,4.0,4.0,25.0
"ALLEN, OH",4,3.0,3.5,3.5,75.0
"LUZERNE, PA",4,3.0,2.33,2.0,75.0
"LAUDERDALE, MS",4,4.0,1.5,1.5,100.0
"BAYAMON, PR",4,4.0,1.0,1.0,100.0
"MORRIS, NJ",4,3.0,4.33,5.0,75.0
"BENTON, WA",4,2.0,3.0,3.0,50.0
"YAKIMA, WA",4,3.0,3.33,4.0,75.0
"MARION, FL",4,2.0,2.0,2.0,50.0
"NORTHAMPTON, PA",4,4.0,3.67,4.0,100.0
"ALBANY, NY",4,3.0,2.33,2.0,75.0
"NORFOLK CITY, VA",4,3.0,3.0,3.0,75.0
"MUSCOGEE, GA",4,3.0,3.0,3.0,75.0
"WASHINGTON, PA",4,4.0,3.0,3.0,100.0
"MCKINLEY, NM",4,4.0,1.5,1.5,100.0
"WESTMORELAND, PA",4,3.0,3.33,3.0,75.0
"MONTCALM, MI",4,2.0,4.0,4.0,50.0
"WINNEBAGO, WI",4,2.0,3.5,3.5,50.0
"MONTEREY, CA",4,4.0,3.5,3.0,100.0
"BELL, TX",4,3.0,2.33,2.0,75.0
"MARION, OR",4,3.0,3.33,3.0,75.0
"NUECES, TX",4,3.0,3.67,4.0,75.0
"AROOSTOOK, ME",4,3.0,3.33,3.0,75.0
"MERCER, PA",4,4.0,2.67,3.0,100.0
"MESA, CO",4,2.0,3.5,3.5,50.0
"ADAMS, CO",4,3.0,3.33,3.0,75.0
"MADISON, IN",4,2.0,3.0,3.0,50.0
"APACHE, AZ",4,2.0,2.0,2.0,50.0
"BALDWIN, AL",4,3.0,2.67,3.0,75.0
"MERRIMACK, NH",4,1.0,4.0,4.0,25.0
"MOHAVE, AZ",4,4.0,2.25,2.5,100.0
"CLARK, OH",3,2.0,3.0,3.0,66.67
"CLARK, WA",3,2.0,3.5,3.5,66.67
"MONTGOMERY, AL",3,3.0,2.67,2.0,100.0
"MONROE, IN",3,2.0,4.0,4.0,66.67
"SAN LUIS OBISPO, CA",3,3.0,3.33,4.0,100.0
"GRANVILLE, NC",3,1.0,2.0,2.0,33.33
"ANGELINA, TX",3,2.0,2.5,2.5,66.67
"POLK, WI",3,,,,
"BIBB, GA",3,3.0,3.67,3.0,100.0
"SAUK, WI",3,2.0,4.5,4.5,66.67
"PONTOTOC, OK",3,2.0,3.0,3.0,66.67
"DE SOTO, MS",3,2.0,2.5,2.5,66.67
"BENTON, AR",3,2.0,3.5,3.5,66.67
"HURON, MI",3,1.0,4.0,4.0,33.33
"CLARK, IN",3,2.0,2.0,2.0,66.67
"DAUPHIN, PA",3,2.0,4.0,4.0,66.67
"CHEROKEE, TX",3,1.0,3.0,3.0,33.33
"DAWSON, NE",3,,,,
"HOLT, NE",3,,,,
"TUSCOLA, MI",3,,,,
"CHRISTIAN, KY",3,1.0,2.0,2.0,33.33
"TUSCARAWAS, OH",3,1.0,3.0,3.0,33.33
"TUSCALOOSA, AL",3,1.0,2.0,2.0,33.33
"CHIPPEWA, WI",3,1.0,4.0,4.0,33.33
"SANTA FE, NM",3,3.0,4.0,4.0,100.0
"NESHOBA, MS",3,2.0,2.0,2.0,66.67
"PLUMAS, CA",3,,,,
"ARAPAHOE, CO",3,3.0,3.33,3.0,100.0
"HUMACAO, PR",3,3.0,,,100.0
"BELTRAMI, MN",3,2.0,2.0,2.0,66.67
"WOOD, WI",3,2.0,3.0,3.0,66.67
"SANILAC, MI",3,,,,
"ULSTER, NY",3,2.0,1.0,1.0,66.67
